hls_synth__latency_best_cycles,hls_synth__latency_average_cycles,hls_synth__latency_worst_cycles,hls_synth__resources_lut_used,hls_synth__resources_ff_used,hls_synth__resources_dsp_used,hls_synth__resources_bram_used,hls_synth__resources_uram_used,impl__power__total_power,impl__power__dynamic_power,impl__power__static_power
108.0,420.0,871.0,51464,17157,87,4,0,908.947,287.142,621.805
108.0,440.0,990.0,51977,17138,87,4,0,907.99,286.19,621.799
103.0,428.0,970.0,100594,21675,222,4,0,1013.89,391.504,622.386
376.0,758.0,1279.0,36826,15428,45,4,0,911.232,289.415,621.817
376.0,765.0,1318.0,34871,15224,45,4,0,915.499,293.658,621.841
145.0,474.0,967.0,41101,16305,67,4,0,885.168,263.494,621.674
225.0,574.0,1087.0,36615,16041,53,4,0,830.098,208.728,621.37
108.0,435.0,980.0,71402,19447,139,4,0,940.648,318.668,621.98
103.0,408.0,851.0,101941,21820,222,4,0,1019.426,397.01,622.416
108.0,422.0,900.0,73442,19636,139,4,0,952.492,330.447,622.045
106.0,418.0,893.0,102103,21817,222,4,0,1034.507,412.007,622.5
57554.0,57554.0,57554.0,4130,1458,0,14,0,620.948,0.724,620.224
40335.0,40335.0,40335.0,13194,3071,0,18,0,620.709,0.486,620.223
49844.0,49844.0,49844.0,7009,2174,0,18,0,621.111,0.886,620.225
33910.0,33910.0,33910.0,18119,8281,0,14,0,620.991,0.766,620.224
611.0,611.0,611.0,330469,83173,0,32,0,742.751,121.861,620.89
804.0,804.0,804.0,395561,78767,0,4,0,760.697,139.708,620.989
681.0,681.0,681.0,325694,83625,0,4,0,762.693,141.694,621.0
611.0,611.0,611.0,330467,83197,0,32,0,741.065,120.184,620.881
681.0,681.0,681.0,325694,83625,0,4,0,762.693,141.694,621.0
952.0,952.0,952.0,394822,77792,0,2,0,750.284,129.352,620.932
1686.0,1855.0,2024.0,329173,83921,0,6,0,719.691,98.927,620.764
675.0,675.0,675.0,329044,83492,0,16,0,691.999,71.387,620.612
1782.0,1925.0,2068.0,398028,77373,0,3,0,696.431,75.794,620.636
1786.0,17344.0,102582.0,328398,60404,0,0,0,708.917,88.212,620.705
1825.0,17383.0,102621.0,328781,60446,0,0,0,704.662,83.98,620.681
1717.0,17275.0,102513.0,214527,23520,0,0,0,693.628,73.007,620.621
1469.0,16924.0,102058.0,331945,60475,0,0,0,740.375,119.498,620.877
1916.0,17474.0,102712.0,214294,22810,0,0,0,687.226,66.64,620.586
1819.0,17286.0,102420.0,215990,23455,0,0,0,693.495,72.874,620.62
1955.0,17513.0,102751.0,213843,22736,0,0,0,686.429,65.847,620.582
1786.0,17344.0,102582.0,214541,23613,0,0,0,689.955,69.354,620.601
1313.0,16859.0,102097.0,331148,60084,0,0,0,731.627,110.798,620.829
1819.0,17286.0,102420.0,215990,23455,0,0,0,693.495,72.874,620.62
1897.0,17364.0,102498.0,329708,60341,0,0,0,710.262,89.55,620.712
1786.0,17344.0,102582.0,328398,60404,0,0,0,708.917,88.212,620.705
770.0,252170.0,998420.0,28735,4985,0,0,0,659.917,39.481,620.437
770.0,209930.0,832020.0,6406,33449,0,0,0,761.223,140.232,620.992
770.0,373770.0,1487380.0,37726,19024,0,0,0,669.48,48.99,620.489
770.0,208650.0,826900.0,692,456,0,0,0,623.777,3.538,620.239
770.0,208650.0,826900.0,665,463,0,0,0,624.254,4.012,620.242
770.0,209930.0,832020.0,1218,673,0,0,0,628.153,7.89,620.263
770.0,208650.0,826900.0,794,460,0,0,0,625.067,4.821,620.246
770.0,373770.0,1487380.0,45554,19028,0,0,0,673.233,52.723,620.51
770.0,216330.0,855060.0,9205,1120,0,0,0,658.365,37.937,620.428
770.0,263690.0,1044500.0,45244,70302,16,0,0,817.056,195.758,621.298
770.0,221450.0,875540.0,3039,1575,0,0,0,628.26,7.997,620.264
1.0,107137.0,295169.0,48967,13142,0,2,0,753.656,132.706,620.95
1.0,61697.0,123393.0,2709,842,0,0,0,627.541,7.281,620.26
1.0,63361.0,126721.0,21859,2279,0,0,0,663.619,43.162,620.457
1.0,64897.0,129793.0,4302,1639,0,0,0,631.593,11.311,620.282
1.0,61569.0,123137.0,1018,341,0,1,0,622.572,2.339,620.233
1.0,61569.0,123137.0,1481,422,0,0,0,623.849,3.609,620.24
1.0,61569.0,123137.0,1091,344,0,2,0,622.797,2.563,620.234
163851.0,163851.0,163851.0,5987,10073,28,0,0,658.073,37.647,620.427
225281.0,225281.0,225281.0,3533,7030,28,0,0,670.213,49.72,620.493
229385.0,229385.0,229385.0,4493,3542,34,0,0,665.013,44.548,620.465
199681.0,199681.0,199681.0,15319,21580,199,0,0,789.692,168.544,621.148
196618.0,196618.0,196618.0,4320,3643,34,0,0,703.675,82.999,620.676
192520.0,192520.0,192520.0,6431,17911,28,0,0,702.545,81.875,620.67
167946.0,167946.0,167946.0,5968,17928,28,0,0,698.048,77.403,620.645
1572871.0,1572871.0,1572871.0,1922,1494,14,0,0,634.725,14.426,620.299
225281.0,225281.0,225281.0,2931,5862,28,0,0,724.277,103.488,620.789
1355777.0,1355777.0,1355777.0,1348,1321,14,0,0,639.59,19.264,620.326
131368.0,131368.0,131368.0,7096,16712,28,0,0,691.651,71.041,620.61
131336.0,131336.0,131336.0,8275,19153,28,0,0,695.97,75.336,620.634
1355777.0,1355777.0,1355777.0,3493,3920,14,0,0,647.141,26.774,620.367
1355777.0,1355777.0,1355777.0,1359,1348,14,0,0,640.218,19.889,620.329
1355777.0,1355777.0,1355777.0,1408,1350,14,0,0,640.701,20.369,620.332
1355777.0,1355777.0,1355777.0,3769,6441,14,0,0,668.395,47.912,620.483
131339.0,131339.0,131339.0,12854,21979,28,0,0,707.69,86.992,620.698
1355777.0,1355777.0,1355777.0,3708,5021,14,0,0,648.766,28.391,620.376
1355777.0,1355777.0,1355777.0,2376,2472,14,0,0,642.567,22.225,620.342
6401.0,1261953.0,28574081.0,7770,7820,110,0,0,745.547,124.641,620.906
1281.0,5856001.0,354771201.0,8031,6662,86,0,0,761.112,140.121,620.991
6721.0,5916929.0,356663553.0,37680,23754,86,0,0,1259.801,636.044,623.757
3649.0,5905153.0,356344065.0,12577,12092,86,0,0,891.534,269.825,621.709
7425.0,1468161.0,33960193.0,9965,12891,86,0,0,819.992,198.678,621.315
2049.0,5887745.0,355803393.0,9918,8539,86,0,0,839.776,218.353,621.423
3649.0,5905153.0,356344065.0,23356,14258,86,0,0,1093.934,471.104,622.83
1281.0,5856001.0,354771201.0,10481,7133,86,0,0,852.178,230.686,621.492
43777.0,43777.0,43777.0,5873,8341,45,0,0,769.955,148.915,621.039
43777.0,43777.0,43777.0,4176,6268,42,0,0,790.501,169.348,621.152
43777.0,43777.0,43777.0,5410,6095,42,0,0,801.77,180.556,621.214
44033.0,44033.0,44033.0,9500,11820,62,0,0,839.003,217.584,621.419
43777.0,43777.0,43777.0,4364,6086,42,0,0,794.921,173.744,621.177
231793.0,231793.0,231793.0,20073,7513,0,0,0,654.569,34.162,620.408
99825.0,99825.0,99825.0,86806,52105,0,0,0,762.804,141.804,621.0
132577.0,132577.0,132577.0,19837,11657,0,0,0,667.837,47.357,620.48
168369.0,168369.0,168369.0,13118,2568,0,0,0,646.445,26.082,620.363
132561.0,132561.0,132561.0,18293,8649,0,0,0,650.219,29.835,620.384
197057.0,197057.0,197057.0,67593,44268,0,0,0,823.263,201.93,621.332
116113.0,116113.0,116113.0,25759,12424,0,0,0,679.217,58.674,620.542
230001.0,230001.0,230001.0,22742,13106,0,0,0,653.628,33.226,620.402
165313.0,165313.0,165313.0,11253,6357,0,0,0,648.16,27.787,620.373
99825.0,99825.0,99825.0,45143,27482,0,0,0,705.562,84.875,620.686
132561.0,132561.0,132561.0,26799,10074,0,0,0,659.312,38.879,620.433
201121.0,201121.0,201121.0,8459,1526,0,0,0,638.354,18.035,620.319
31123.0,31123.0,31123.0,1724,1436,14,0,0,649.127,28.749,620.378
31123.0,31123.0,31123.0,1339,1383,14,0,0,640.39,20.06,620.33
25202.0,25202.0,25202.0,1984,2760,14,0,0,647.341,26.973,620.368
25202.0,25202.0,25202.0,3697,2909,14,0,0,646.53,26.166,620.364
2528.0,2528.0,2528.0,8211,7296,28,0,0,660.98,40.537,620.443
25202.0,25202.0,25202.0,4217,2891,14,0,0,647.069,26.702,620.367
25202.0,25202.0,25202.0,2712,2911,14,0,0,649.759,29.378,620.381
25202.0,25202.0,25202.0,2104,2796,14,0,0,648.204,27.831,620.373
39069.0,39069.0,39069.0,1625,643,6,0,0,634.597,14.299,620.299
27726.0,27726.0,27726.0,14964,3416,33,0,0,674.976,54.457,620.519
86185.0,86185.0,86185.0,434,124,6,0,0,628.244,7.981,620.264
54942.0,54942.0,54942.0,872,602,6,0,0,633.982,13.687,620.295
11728.0,11728.0,11728.0,1805,942,18,0,0,645.493,25.135,620.358
15634.0,15634.0,15634.0,1700,674,15,0,0,649.994,29.612,620.383
39069.0,39069.0,39069.0,2217,642,6,0,0,628.821,8.555,620.267
54942.0,54942.0,54942.0,2118,594,6,0,0,645.061,24.705,620.356
23446.0,23446.0,23446.0,1023,636,9,0,0,633.58,13.287,620.293
4164.0,4164.0,4164.0,20243,5297,141,0,0,1035.815,413.308,622.507
18276.0,18276.0,18276.0,2835,1203,12,0,0,638.587,18.267,620.32
35790.0,35790.0,35790.0,2331,1007,6,0,0,631.629,11.346,620.282
38765.0,38765.0,38765.0,7644,1531,3,0,0,628.959,8.692,620.268
22696.0,22696.0,22696.0,45523,5004,9,0,0,854.279,232.776,621.503
17151.0,17151.0,17151.0,27010,1990,6,0,0,639.207,18.884,620.324
16016.0,16016.0,16016.0,24409,4912,9,0,0,648.373,27.999,620.374
14001.0,14001.0,14001.0,31033,4237,6,0,0,668.633,48.148,620.484
3403.0,3403.0,3403.0,64854,5004,42,0,0,890.694,268.99,621.704
1187.0,1187.0,1187.0,71790,11017,96,0,0,1131.033,507.996,623.037
4221.0,4221.0,4221.0,12143,2559,42,0,0,752.251,131.309,620.942
3229.0,3229.0,3229.0,23550,3514,30,0,0,688.224,67.632,620.591
22568.0,22568.0,22568.0,14772,3359,6,0,0,644.524,24.171,620.353
838700.0,838700.0,838700.0,16947,7630,6,128,0,809.125,187.392,621.733
828408.0,828408.0,828408.0,41838,15284,6,128,0,825.142,203.32,621.822
837304.0,837304.0,837304.0,40706,13702,6,128,0,794.787,173.132,621.654
679127.0,679127.0,679127.0,32662,9892,9,64,0,993.431,370.918,622.513
296121.0,296121.0,296121.0,28760,15312,12,56,0,811.752,190.303,621.449
819512.0,819512.0,819512.0,40293,13034,9,44,0,809.594,188.187,621.407
820908.0,820908.0,820908.0,9083,5221,9,44,0,711.906,91.035,620.87
820908.0,820908.0,820908.0,10610,5218,9,44,0,718.352,97.447,620.906
820907.0,820907.0,820907.0,29269,10423,9,128,0,789.847,168.22,621.627
678988.0,678988.0,678988.0,35148,13488,9,128,0,1041.51,418.488,623.022
820907.0,820907.0,820907.0,8780,4821,9,64,0,719.742,98.74,621.003
829804.0,829804.0,829804.0,9944,5412,6,64,0,726.482,105.442,621.04
26700.0,26700.0,26700.0,2291,1552,5,8,0,639.604,19.248,620.356
42571.0,42571.0,42571.0,3550,2837,5,8,0,644.293,23.942,620.351
30732.0,30732.0,30732.0,2389,1880,5,8,0,639.28,18.927,620.354
30284.0,30284.0,30284.0,3527,2347,5,8,0,644.432,24.08,620.352
14296.0,14296.0,14296.0,14732,21749,80,32,0,840.285,218.679,621.606
21586.0,21586.0,21586.0,1563,1263,5,12,0,640.948,20.578,620.37
18512.0,18512.0,18512.0,6025,5977,40,8,0,700.257,79.599,620.657
19760.0,19760.0,19760.0,12154,17582,80,66,0,818.086,196.557,621.528
10021.0,10021.0,10021.0,22718,34785,160,132,0,1122.989,499.528,623.461
19471.0,19471.0,19471.0,3612,3478,20,8,0,678.565,57.996,620.569
43018.0,43018.0,43018.0,2539,1810,5,8,0,639.449,19.095,620.355
19759.0,19759.0,19759.0,11982,17240,80,68,0,860.742,238.978,621.764
19508.0,19508.0,19508.0,20875,26079,134,142,0,873.432,251.328,622.104
30283.0,30283.0,30283.0,3906,3391,5,8,0,647.709,27.339,620.37
25552.0,25552.0,25552.0,1442,1028,5,14,0,638.126,17.779,620.347
30283.0,30283.0,30283.0,3852,2826,5,8,0,654.943,34.533,620.41
6950.0,6950.0,6950.0,23069,35292,160,136,0,1014.306,391.451,622.855
14479.0,14479.0,14479.0,6218,6326,40,8,0,736.943,116.085,620.858
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
31950.0,31950.0,31950.0,2922,2165,5,16,0,645.192,24.777,620.416
20136.0,20136.0,20136.0,27755,43233,256,138,0,1006.947,384.117,622.829
35534.0,35534.0,35534.0,4609,3653,5,16,0,655.451,35.039,620.412
20123.0,20123.0,20123.0,27996,43561,256,198,0,987.226,364.506,622.72
35918.0,35918.0,35918.0,2952,2388,5,16,0,647.207,26.78,620.427
31566.0,31566.0,31566.0,4564,3596,5,16,0,654.132,33.727,620.405
35534.0,35534.0,35534.0,4555,3152,5,16,0,656.715,36.295,620.419
35023.0,35023.0,35023.0,1756,1446,5,21,0,640.96,20.567,620.393
878875.0,878875.0,878875.0,14994,19426,80,280,0,931.939,308.955,622.984
2180630.0,2180630.0,2180630.0,12102,5585,40,88,0,749.603,128.556,621.047
2179094.0,2179094.0,2179094.0,7521,3310,13,64,0,680.474,59.687,620.787
1925142.0,1925142.0,1925142.0,7285,3081,13,64,0,676.759,55.992,620.767
1926294.0,1926294.0,1926294.0,30717,31585,160,152,0,885.47,263.375,622.095
2180118.0,2180118.0,2180118.0,9945,6270,20,64,0,680.46,59.673,620.787
2184214.0,2184214.0,2184214.0,10564,3037,11,88,0,694.436,73.691,620.745
2182166.0,2182166.0,2182166.0,10285,2884,13,88,0,696.31,75.555,620.755
877076.0,877076.0,877076.0,25819,37484,80,440,0,972.937,349.124,623.814
2704397.0,2704397.0,2704397.0,14602,3457,13,88,0,708.917,88.093,620.824
2977805.0,2977805.0,2977805.0,15222,10956,53,124,0,708.145,86.983,621.163
35078.0,35078.0,35078.0,5542,3188,5,64,0,693.899,73.277,620.623
31046.0,31046.0,31046.0,3438,3056,5,8,0,649.151,28.773,620.378
34502.0,34502.0,34502.0,1496,1114,5,13,0,636.671,16.331,620.34
19868.0,19868.0,19868.0,22713,34815,160,134,0,998.883,376.129,622.754
31430.0,31430.0,31430.0,2333,1699,5,8,0,642.529,22.158,620.372
35462.0,35462.0,35462.0,2431,2027,5,8,0,642.334,21.964,620.37
35078.0,35078.0,35078.0,3606,2621,5,16,0,651.908,31.455,620.453
2192407.0,2192407.0,2192407.0,11838,8022,28,56,0,675.111,54.382,620.728
1100067.0,1100067.0,1100067.0,29596,40114,208,216,0,1260.931,636.347,624.584
2191383.0,2191383.0,2191383.0,7248,3800,20,56,0,691.103,70.287,620.816
878879.0,878879.0,878879.0,17721,23513,128,280,0,1101.362,477.432,623.93
2194455.0,2194455.0,2194455.0,9337,3991,23,56,0,710.781,90.066,620.715
1937431.0,1937431.0,1937431.0,7250,3635,20,56,0,690.063,69.253,620.81
1938583.0,1938583.0,1938583.0,42747,50496,224,152,0,922.793,300.431,622.362
2192919.0,2192919.0,2192919.0,12178,8182,56,56,0,778.992,157.902,621.089
2196503.0,2196503.0,2196503.0,8845,3847,19,56,0,698.422,77.774,620.647
20762.0,20762.0,20762.0,25787,38857,208,192,0,900.803,278.323,622.48
1108042.0,1108042.0,1108042.0,6761,9786,10,32,0,696.503,75.747,620.756
1117198.0,1117198.0,1117198.0,3840,1268,5,32,0,653.554,33.152,620.402
1105939.0,1105939.0,1105939.0,3055,2126,10,32,0,659.992,39.435,620.556
1103379.0,1103379.0,1103379.0,6332,5122,40,40,0,719.872,99.047,620.824
864276.0,864276.0,864276.0,1969,1406,5,32,0,646.126,25.645,620.48
1106963.0,1106963.0,1106963.0,4082,2312,5,40,0,664.073,43.554,620.519
849191.0,849191.0,849191.0,18509,29924,80,80,0,786.941,165.569,621.372
864270.0,864270.0,864270.0,2607,1172,5,32,0,641.366,20.912,620.454
1005.0,1263.0,1679.0,9043,3842,45,2,0,671.679,51.163,620.516
13403.0,13403.0,13403.0,52310,15419,0,11,0,620.977,0.753,620.224
590.0,590.0,590.0,394535,46128,0,8,0,783.758,162.643,621.115
1916.0,17474.0,102712.0,213484,22661,0,0,0,691.209,70.601,620.608
770.0,208650.0,826900.0,665,463,0,0,0,624.254,4.012,620.242
1.0,61569.0,123137.0,1018,341,0,1,0,622.572,2.339,620.233
262156.0,262156.0,262156.0,2030,2033,14,0,0,642.261,21.92,620.34
131368.0,131368.0,131368.0,6453,10643,28,0,0,689.006,68.41,620.596
2465.0,2465.0,2465.0,24492,42805,268,0,0,1237.605,613.973,623.632
166289.0,166289.0,166289.0,4826,2621,0,0,0,631.707,11.424,620.283
2528.0,2528.0,2528.0,3151,4054,28,0,0,659.935,39.498,620.437
39069.0,39069.0,39069.0,902,633,6,0,0,628.726,8.46,620.266
52820.0,52820.0,52820.0,1827,499,3,0,0,628.387,8.122,620.265
294457.0,294457.0,294457.0,40815,20252,15,72,0,799.393,177.938,621.455
6579.0,6579.0,6579.0,31481,37916,320,70,0,1248.681,624.979,623.702
6577.0,6577.0,6577.0,31508,37914,320,71,0,1260.774,637.004,623.77
28958.0,28958.0,28958.0,16366,22844,128,256,0,1028.216,404.786,623.43
2555.0,2555.0,2555.0,69496,81979,1024,135,0,2436.622,1806.102,630.52
45606.0,45606.0,45606.0,25419,35509,128,504,0,1213.161,587.754,625.408
41495.0,41495.0,41495.0,36159,49533,160,728,0,1351.797,724.748,627.049
6719.0,6719.0,6719.0,10871,17763,10,14,0,740.995,120.085,620.91
45610.0,45610.0,45610.0,27082,37232,128,392,0,984.951,361.251,623.7
28958.0,28958.0,28958.0,16762,22619,128,256,0,1033.064,409.607,623.457
